base,city_style,city,generated_image,predicted_values,target_path,ground_truth,prompt,clip_score,ranking
21_15_r0_d1,_kigali,kigali,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/21_15_r0_d1___Kigali____0.png,"[62.37269973754883, 552.6312255859375, 1769.7584228515625]",./urban_data/tencities/GenAI_density/Kigali/satellite_images_z17/r0_d1_cv/21_15_r0_d1_cv.jpg,"[60.0, 756.0, 2098.0]",Satellite imagery of Kigali. The total built-up surface area is 60.0 thousand square meters. The total built-up volume is 756.0 thousand cubic meters. The population in this area is about 2098.0.,16.683937072753906,top5
6_22_r0_d1,_kigali,kigali,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/6_22_r0_d1___Kigali____0.png,"[27.614301681518555, 148.4240264892578, 443.0661315917969]",./urban_data/tencities/GenAI_density/Kigali/satellite_images_z17/r0_d1_cv/6_22_r0_d1_cv.jpg,"[30.8, 225.3, 600.2]",Satellite imagery of Kigali. The total built-up surface area is 30.8 thousand square meters. The total built-up volume is 225.3 thousand cubic meters. The population in this area is about 600.2.,16.676071166992188,top5
25_12_r1_d0,_kigali,kigali,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/25_12_r1_d0___Kigali____0.png,"[61.14057540893555, 556.8456420898438, 1877.0078125]",./urban_data/tencities/GenAI_density/Kigali/satellite_images_z17/r1_d0_cv/25_12_r1_d0_cv.jpg,"[65.6, 824.7, 3771.6]",Satellite imagery of Kigali. The total built-up surface area is 65.6 thousand square meters. The total built-up volume is 824.7 thousand cubic meters. The population in this area is about 3771.6.,16.648765563964844,top5
24_51_r2_d1,_kigali,kigali,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/24_51_r2_d1___Kigali____2.png,"[20.155696868896484, 95.31039428710938, 200.4920654296875]",./urban_data/tencities/GenAI_density/Kigali/satellite_images_z17/r2_d1_cv/24_51_r2_d1_cv.jpg,"[18.4, 84.2, 286.8]",Satellite imagery of Kigali. The total built-up surface area is 18.4 thousand square meters. The total built-up volume is 84.2 thousand cubic meters. The population in this area is about 286.8.,16.15692901611328,bottom5
21_15_r0_d1,_kigali,kigali,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/21_15_r0_d1___Kigali____1.png,"[66.3315658569336, 839.322265625, 3276.429931640625]",./urban_data/tencities/GenAI_density/Kigali/satellite_images_z17/r0_d1_cv/21_15_r0_d1_cv.jpg,"[60.0, 756.0, 2098.0]",Satellite imagery of Kigali. The total built-up surface area is 60.0 thousand square meters. The total built-up volume is 756.0 thousand cubic meters. The population in this area is about 2098.0.,15.81845760345459,bottom5
25_12_r1_d0,_kigali,kigali,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/25_12_r1_d0___Kigali____1.png,"[64.8629379272461, 611.7861938476562, 2091.1015625]",./urban_data/tencities/GenAI_density/Kigali/satellite_images_z17/r1_d0_cv/25_12_r1_d0_cv.jpg,"[65.6, 824.7, 3771.6]",Satellite imagery of Kigali. The total built-up surface area is 65.6 thousand square meters. The total built-up volume is 824.7 thousand cubic meters. The population in this area is about 3771.6.,15.767457962036133,bottom5
17_51_r1_d0,_kigali,kigali,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/17_51_r1_d0___Kigali____1.png,"[17.039386749267578, 79.27568054199219, 293.2659606933594]",./urban_data/tencities/GenAI_density/Kigali/satellite_images_z17/r1_d0_cv/17_51_r1_d0_cv.jpg,"[14.7, 50.5, 220.8]",Satellite imagery of Kigali. The total built-up surface area is 14.7 thousand square meters. The total built-up volume is 50.5 thousand cubic meters. The population in this area is about 220.8.,15.67370319366455,bottom5
27_23_r1_d1,_kigali,kigali,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/27_23_r1_d1___Kigali____1.png,"[52.54900360107422, 523.9671630859375, 978.676025390625]",./urban_data/tencities/GenAI_density/Kigali/satellite_images_z17/r1_d1_cv/27_23_r1_d1_cv.jpg,"[53.1, 506.3, 1632.8]",Satellite imagery of Kigali. The total built-up surface area is 53.1 thousand square meters. The total built-up volume is 506.3 thousand cubic meters. The population in this area is about 1632.8.,15.65558910369873,bottom5
60_39_r1_d1,_kinshasa,kinshasa,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/60_39_r1_d1___Kinshasa____1.png,"[0.43705016374588, 3.102555751800537, 20.730571746826172]",./urban_data/tencities/GenAI_density/Kinshasa/satellite_images_z17/r1_d1_cv/60_39_r1_d1_cv.jpg,"[0.0, 0.0, 0.0]",Satellite imagery of Kinshasa. The total built-up surface area is 0.0 thousand square meters. The total built-up volume is 0.0 thousand cubic meters. The population in this area is about 0.0.,17.78420066833496,top5
60_39_r1_d1,_kinshasa,kinshasa,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/60_39_r1_d1___Kinshasa____2.png,"[0.45204180479049605, 3.093512773513794, 24.97248649597168]",./urban_data/tencities/GenAI_density/Kinshasa/satellite_images_z17/r1_d1_cv/60_39_r1_d1_cv.jpg,"[0.0, 0.0, 0.0]",Satellite imagery of Kinshasa. The total built-up surface area is 0.0 thousand square meters. The total built-up volume is 0.0 thousand cubic meters. The population in this area is about 0.0.,17.778263092041016,top5
60_39_r1_d1,_kinshasa,kinshasa,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/60_39_r1_d1___Kinshasa____0.png,"[0.549071371555328, 3.862532377243042, 35.378631591796875]",./urban_data/tencities/GenAI_density/Kinshasa/satellite_images_z17/r1_d1_cv/60_39_r1_d1_cv.jpg,"[0.0, 0.0, 0.0]",Satellite imagery of Kinshasa. The total built-up surface area is 0.0 thousand square meters. The total built-up volume is 0.0 thousand cubic meters. The population in this area is about 0.0.,17.767009735107422,top5
38_50_r0_d1,_kinshasa,kinshasa,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/38_50_r0_d1___Kinshasa____2.png,"[80.57984161376953, 577.1123657226562, 6773.63671875]",./urban_data/tencities/GenAI_density/Kinshasa/satellite_images_z17/r0_d1_cv/38_50_r0_d1_cv.jpg,"[87.1, 650.5, 4822.5]",Satellite imagery of Kinshasa. The total built-up surface area is 87.1 thousand square meters. The total built-up volume is 650.5 thousand cubic meters. The population in this area is about 4822.5.,17.6749324798584,top5
38_50_r0_d1,_kinshasa,kinshasa,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/38_50_r0_d1___Kinshasa____0.png,"[79.8818130493164, 583.2989501953125, 5107.31103515625]",./urban_data/tencities/GenAI_density/Kinshasa/satellite_images_z17/r0_d1_cv/38_50_r0_d1_cv.jpg,"[87.1, 650.5, 4822.5]",Satellite imagery of Kinshasa. The total built-up surface area is 87.1 thousand square meters. The total built-up volume is 650.5 thousand cubic meters. The population in this area is about 4822.5.,17.588991165161133,top5
60_37_r1_d1,_kinshasa,kinshasa,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/60_37_r1_d1___Kinshasa____1.png,"[52.61377716064453, 421.1909484863281, 3579.931396484375]",./urban_data/tencities/GenAI_density/Kinshasa/satellite_images_z17/r1_d1_cv/60_37_r1_d1_cv.jpg,"[47.3, 389.6, 242.7]",Satellite imagery of Kinshasa. The total built-up surface area is 47.3 thousand square meters. The total built-up volume is 389.6 thousand cubic meters. The population in this area is about 242.7.,16.8682918548584,bottom5
60_37_r1_d1,_kinshasa,kinshasa,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/60_37_r1_d1___Kinshasa____2.png,"[51.830684661865234, 488.6287841796875, 898.4257202148438]",./urban_data/tencities/GenAI_density/Kinshasa/satellite_images_z17/r1_d1_cv/60_37_r1_d1_cv.jpg,"[47.3, 389.6, 242.7]",Satellite imagery of Kinshasa. The total built-up surface area is 47.3 thousand square meters. The total built-up volume is 389.6 thousand cubic meters. The population in this area is about 242.7.,16.83401870727539,bottom5
40_84_r0_d0,_kinshasa,kinshasa,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/40_84_r0_d0___Kinshasa____0.png,"[74.07748413085938, 571.4930419921875, 4081.171142578125]",./urban_data/tencities/GenAI_density/Kinshasa/satellite_images_z17/r0_d0_cv/40_84_r0_d0_cv.jpg,"[69.4, 611.8, 983.2]",Satellite imagery of Kinshasa. The total built-up surface area is 69.4 thousand square meters. The total built-up volume is 611.8 thousand cubic meters. The population in this area is about 983.2.,16.694412231445312,bottom5
25_39_r0_d1,_kinshasa,kinshasa,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/25_39_r0_d1___Kinshasa____0.png,"[71.68666076660156, 555.1904296875, 3253.280029296875]",./urban_data/tencities/GenAI_density/Kinshasa/satellite_images_z17/r0_d1_cv/25_39_r0_d1_cv.jpg,"[64.5, 612.2, 5688.8]",Satellite imagery of Kinshasa. The total built-up surface area is 64.5 thousand square meters. The total built-up volume is 612.2 thousand cubic meters. The population in this area is about 5688.8.,16.43596076965332,bottom5
55_31_r0_d1,_kinshasa,kinshasa,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/55_31_r0_d1___Kinshasa____2.png,"[82.55413055419922, 570.0816650390625, 3806.022216796875]",./urban_data/tencities/GenAI_density/Kinshasa/satellite_images_z17/r0_d1_cv/55_31_r0_d1_cv.jpg,"[78.4, 572.4, 4568.1]",Satellite imagery of Kinshasa. The total built-up surface area is 78.4 thousand square meters. The total built-up volume is 572.4 thousand cubic meters. The population in this area is about 4568.1.,16.07990264892578,bottom5
40_76_r0_d1,_mexico,mexico,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/40_76_r0_d1___Mexico____2.png,"[0.13937686383724202, 0.7277863025665281, 1.195949792861938]",./urban_data/tencities/GenAI_density/Mexico/satellite_images_z17/r0_d1_cv/40_76_r0_d1_cv.jpg,"[0.2, 0.5, 0.5]",Satellite imagery of Mexico. The total built-up surface area is 0.2 thousand square meters. The total built-up volume is 0.5 thousand cubic meters. The population in this area is about 0.5.,18.107744216918945,top5
40_76_r0_d1,_mexico,mexico,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/40_76_r0_d1___Mexico____0.png,"[0.30814900994300803, 2.038182973861694, 4.447962760925293]",./urban_data/tencities/GenAI_density/Mexico/satellite_images_z17/r0_d1_cv/40_76_r0_d1_cv.jpg,"[0.2, 0.5, 0.5]",Satellite imagery of Mexico. The total built-up surface area is 0.2 thousand square meters. The total built-up volume is 0.5 thousand cubic meters. The population in this area is about 0.5.,18.088382720947266,top5
40_76_r0_d1,_mexico,mexico,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/40_76_r0_d1___Mexico____1.png,"[3.257396459579467, 22.93976402282715, 35.94551467895508]",./urban_data/tencities/GenAI_density/Mexico/satellite_images_z17/r0_d1_cv/40_76_r0_d1_cv.jpg,"[0.2, 0.5, 0.5]",Satellite imagery of Mexico. The total built-up surface area is 0.2 thousand square meters. The total built-up volume is 0.5 thousand cubic meters. The population in this area is about 0.5.,18.025728225708008,top5
46_28_r0_d0,_mexico,mexico,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/46_28_r0_d0___Mexico____1.png,"[74.68817138671875, 626.7420654296875, 2289.072265625]",./urban_data/tencities/GenAI_density/Mexico/satellite_images_z17/r0_d0_cv/46_28_r0_d0_cv.jpg,"[74.0, 760.9, 2102.4]",Satellite imagery of Mexico. The total built-up surface area is 74.0 thousand square meters. The total built-up volume is 760.9 thousand cubic meters. The population in this area is about 2102.4.,17.827594757080078,top5
11_42_r0_d1,_mexico,mexico,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/11_42_r0_d1___Mexico____0.png,"[76.21528625488281, 603.4813232421875, 1400.57421875]",./urban_data/tencities/GenAI_density/Mexico/satellite_images_z17/r0_d1_cv/11_42_r0_d1_cv.jpg,"[74.5, 664.3, 2357.7]",Satellite imagery of Mexico. The total built-up surface area is 74.5 thousand square meters. The total built-up volume is 664.3 thousand cubic meters. The population in this area is about 2357.7.,17.813526153564453,top5
38_12_r0_d0,_mexico,mexico,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/38_12_r0_d0___Mexico____2.png,"[29.39725112915039, 287.31591796875, 462.4485168457031]",./urban_data/tencities/GenAI_density/Mexico/satellite_images_z17/r0_d0_cv/38_12_r0_d0_cv.jpg,"[25.8, 266.5, 105.5]",Satellite imagery of Mexico. The total built-up surface area is 25.8 thousand square meters. The total built-up volume is 266.5 thousand cubic meters. The population in this area is about 105.5.,17.116313934326172,bottom5
1_6_r0_d0,_mexico,mexico,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/1_6_r0_d0___Mexico____1.png,"[70.00045013427734, 985.4249267578125, 1861.3543701171875]",./urban_data/tencities/GenAI_density/Mexico/satellite_images_z17/r0_d0_cv/1_6_r0_d0_cv.jpg,"[61.4, 718.1, 2081.9]",Satellite imagery of Mexico. The total built-up surface area is 61.4 thousand square meters. The total built-up volume is 718.1 thousand cubic meters. The population in this area is about 2081.9.,17.0655574798584,bottom5
37_71_r0_d0,_mexico,mexico,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/37_71_r0_d0___Mexico____1.png,"[1.722930788993835, 9.81357192993164, 14.177874565124512]",./urban_data/tencities/GenAI_density/Mexico/satellite_images_z17/r0_d0_cv/37_71_r0_d0_cv.jpg,"[1.5, 3.7, 3.6]",Satellite imagery of Mexico. The total built-up surface area is 1.5 thousand square meters. The total built-up volume is 3.7 thousand cubic meters. The population in this area is about 3.6.,16.94689178466797,bottom5
21_59_r0_d1,_mexico,mexico,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/21_59_r0_d1___Mexico____2.png,"[46.42188262939453, 402.1414489746094, 969.113037109375]",./urban_data/tencities/GenAI_density/Mexico/satellite_images_z17/r0_d1_cv/21_59_r0_d1_cv.jpg,"[22.7, 165.5, 675.6]",Satellite imagery of Mexico. The total built-up surface area is 22.7 thousand square meters. The total built-up volume is 165.5 thousand cubic meters. The population in this area is about 675.6.,16.92815399169922,bottom5
37_71_r0_d0,_mexico,mexico,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/37_71_r0_d0___Mexico____0.png,"[3.071565151214599, 19.904626846313477, 24.94391632080078]",./urban_data/tencities/GenAI_density/Mexico/satellite_images_z17/r0_d0_cv/37_71_r0_d0_cv.jpg,"[1.5, 3.7, 3.6]",Satellite imagery of Mexico. The total built-up surface area is 1.5 thousand square meters. The total built-up volume is 3.7 thousand cubic meters. The population in this area is about 3.6.,15.629082679748535,bottom5
22_20_r1_d0,_munich,munich,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/22_20_r1_d0___Munich____0.png,"[35.71318435668945, 265.03668212890625, 1132.799560546875]",./urban_data/tencities/GenAI_density/Munich/satellite_images_z17/r1_d0_cv/22_20_r1_d0_cv.jpg,"[32.3, 180.5, 874.4]",Satellite imagery of Munich. The total built-up surface area is 32.3 thousand square meters. The total built-up volume is 180.5 thousand cubic meters. The population in this area is about 874.4.,18.09721565246582,top5
13_40_r0_d0,_munich,munich,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/13_40_r0_d0___Munich____2.png,"[16.677391052246094, 98.4542007446289, 331.3415832519531]",./urban_data/tencities/GenAI_density/Munich/satellite_images_z17/r0_d0_cv/13_40_r0_d0_cv.jpg,"[23.5, 135.9, 114.1]",Satellite imagery of Munich. The total built-up surface area is 23.5 thousand square meters. The total built-up volume is 135.9 thousand cubic meters. The population in this area is about 114.1.,18.079933166503906,top5
15_41_r0_d0,_munich,munich,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/15_41_r0_d0___Munich____2.png,"[3.8827393054962163, 13.4314546585083, 50.030826568603516]",./urban_data/tencities/GenAI_density/Munich/satellite_images_z17/r0_d0_cv/15_41_r0_d0_cv.jpg,"[4.3, 11.5, 58.5]",Satellite imagery of Munich. The total built-up surface area is 4.3 thousand square meters. The total built-up volume is 11.5 thousand cubic meters. The population in this area is about 58.5.,18.07623291015625,top5
20_17_r1_d0,_munich,munich,/Users/wangzhuoyulucas/SMART /generatedImg/show-case-FID/20_17_r1_d0___Munich____0.png,"[6.093089580535889, 37.13666915893555, 55.00497817993164]",./urban_data/tencities/GenAI_density/Munich/satellite_images_z17/r1_d0_cv/20_17_r1_d0_cv.jpg,"[3.3, 9.6, 49.2]",Satellite imagery of Munich. The total built-up surface area is 3.3 thousand square meters. The total built-up volume is 9.6 thousand cubic meters. The population in this area is about 49.2.,18.06722068786621,top5
